Churn,Account Length,Messages,Day Mins,Eve Mins,Night Mins,Intern. Min,CallCenter enquiry,Call Plan,Message Plan
0,128,25,265.1,197.4,244.7,10,1,0,1
0,107,26,161.6,195.5,254.4,13.7,1,0,1
0,137,0,243.4,121.2,162.6,12.2,0,0,0
0,84,0,299.4,61.9,196.9,6.6,2,1,0
0,75,0,166.7,148.3,186.9,10.1,3,1,0
0,118,0,223.4,220.6,203.9,6.3,0,1,0
0,121,24,218.2,348.5,212.6,7.5,3,0,1
0,147,0,157,103.1,211.8,7.1,0,1,0
0,117,0,184.5,351.6,215.8,8.7,1,0,0
0,141,37,258.6,222,326.4,11.2,0,1,1
1,65,0,129.1,228.5,208.8,12.7,4,0,0
0,74,0,187.7,163.4,196,9.1,0,0,0
0,168,0,128.8,104.9,141.1,11.2,1,0,0
0,95,0,156.6,247.6,192.3,12.3,3,0,0
0,62,0,120.7,307.2,203,13.1,4,0,0
1,161,0,332.9,317.8,160.6,5.4,4,0,0
0,85,27,196.4,280.9,89.3,13.8,1,0,1
0,93,0,190.7,218.2,129.6,8.1,3,0,0
0,76,33,189.7,212.8,165.7,10,1,0,1
0,73,0,224.4,159.5,192.8,13,1,0,0
0,147,0,155.1,239.7,208.8,10.6,0,0,0
1,77,0,62.4,169.9,209.6,5.7,5,0,0
0,130,0,183,72.9,181.8,9.5,0,0,0
0,111,0,110.4,137.3,189.6,7.7,2,0,0
0,132,0,81.1,245.2,237,10.3,0,0,0
0,174,0,124.3,277.1,250.7,15.5,3,0,0
0,57,39,213,191.1,182.7,9.5,0,0,1
0,54,0,134.3,155.5,102.1,14.7,3,0,0
0,20,0,190,258.2,181.5,6.3,0,0,0
0,49,0,119.3,215.1,178.7,11.1,1,0,0
0,142,0,84.8,136.7,250.5,14.2,2,0,0
0,75,0,226.1,201.5,246.2,10.3,1,0,0
0,172,0,212,31.2,293.3,12.6,3,0,0
1,12,0,249.6,252.4,280.2,11.8,1,0,0
0,57,25,176.8,195,213.5,8.3,0,0,1
0,72,37,220,217.3,152.8,14.7,3,0,1
0,36,30,146.3,162.5,129.3,14.5,0,0,1
0,78,0,130.8,223.7,227.8,10,1,0,0
0,136,33,203.9,187.6,101.7,10.5,3,1,1
0,149,0,140.4,271.8,188.3,11.1,1,0,0
0,98,0,126.3,166.8,187.8,9.4,3,0,0
1,135,41,173.1,203.9,122.2,14.6,0,1,1
0,34,0,124.8,282.2,311.5,10,2,0,0
0,160,0,85.8,165.3,178.5,9.2,3,0,0
0,64,0,154,225.8,265.3,3.5,1,0,0
0,59,28,120.9,213,163.1,8.5,2,0,1
0,65,0,211.3,162.6,134.7,13.2,3,0,0
0,142,0,187,134.6,242.2,7.4,2,0,0
1,119,0,159.1,231.3,143.2,8.8,5,0,0
0,97,24,133.2,217.2,70.6,11,1,0,1
0,52,0,191.9,269.8,236.8,7.8,3,0,0
0,60,0,220.6,211.1,249,6.8,1,0,0
0,10,0,186.1,190.2,282.8,11.4,2,0,0
0,96,0,160.2,267.5,228.5,9.3,2,0,0
1,87,0,151,219.7,203.9,9.7,5,0,0
0,81,0,175.5,249.3,270.2,10.2,1,0,0
0,141,0,126.9,180,140.8,8,1,0,0
1,121,30,198.4,75.3,181.2,5.8,3,0,1
0,68,0,148.8,246.5,129.8,12.1,3,0,0
0,125,0,229.3,177.4,189.3,12,1,0,0
0,174,0,192.1,169.9,166.6,11.4,1,0,0
0,116,34,268.6,178.2,166.3,11.6,2,0,1
0,74,33,193.7,246.1,138,14.6,2,0,1
0,149,28,180.7,187.8,265.5,12.6,3,0,1
0,38,0,131.2,162.9,159,8.2,2,0,0
0,40,41,148.1,169.5,214.1,6.2,2,0,1
0,43,0,251.5,212.8,157.8,9.3,0,1,0
0,113,0,125.2,206.4,129.3,8.3,0,1,0
0,126,0,211.6,216.9,153.5,7.8,1,0,0
1,150,0,178.9,169.1,148.6,13.8,4,0,0
0,138,0,241.8,170.5,295.3,11.8,3,0,0
0,162,46,224.9,188.2,254.6,12.1,0,0,1
0,147,0,248.6,148.9,172.5,8,3,0,0
0,90,0,203.4,226.7,152.4,7.3,1,0,0
0,85,0,235.8,157.2,188.2,12,0,0,0
0,50,0,157.1,223.3,181.4,6.1,1,0,0
1,82,0,300.3,181,270.1,11.7,0,0,0
1,144,0,61.6,77.1,173,8.2,4,0,0
0,46,0,214.1,164.4,177.5,8.2,2,0,0
0,70,0,170.2,155.2,228.6,15,1,0,0
0,144,0,201.1,303.5,224,13.2,1,0,0
0,116,0,215.4,204.8,278.5,12.6,3,1,0
0,55,25,165.6,136.1,175.7,11,3,0,1
0,70,24,249.5,259.7,222.7,9.8,1,0,1
1,106,0,210.6,249.2,191.4,12.4,2,0,0
0,128,29,179.3,225.9,323,8.6,0,0,1
1,94,0,157.9,155,189.6,8,4,0,0
0,111,0,214.3,208.5,182.4,12,1,0,0
0,74,35,154.1,123.4,202.1,10.9,2,0,1
1,128,0,237.9,247.6,208.9,13.9,1,0,0
0,82,0,143.9,194.9,109.6,11.1,1,0,0
1,155,0,203.4,190.9,196,8.9,0,0,0
0,80,0,124.3,173,253.2,7.9,1,0,0
0,78,0,252.9,178.4,263.9,9.5,3,0,0
0,90,0,179.1,190.6,127.7,10.6,3,0,0
0,104,0,278.4,81,163.2,9.8,1,0,0
0,73,0,160.1,213.3,174.1,13,0,0,0
0,99,0,198.2,207.3,190.9,8.7,4,0,0
1,120,0,212.1,209.4,167.2,5.3,1,0,0
1,77,0,251.8,205.7,275.2,9.8,2,0,0
0,98,21,161.2,252.2,160.2,4.4,4,0,1
0,108,0,178.3,189,129.1,14.6,0,0,0
0,135,0,151.7,119,180,10.5,0,0,0
0,95,0,135,183.6,245.3,12.5,1,0,0
0,122,0,170.5,173.7,248.6,11.3,1,0,0
0,95,0,238.1,187.2,190,11.8,4,0,0
0,36,29,281.4,202.2,187.2,9,2,0,1
0,93,21,117.9,164.5,217,9.8,1,0,1
0,141,32,148.6,131.1,219.4,10.1,1,0,1
0,157,0,229.8,147.9,241.4,9.6,3,0,0
0,120,0,165,317.2,119.2,8.3,1,0,0
0,103,0,185,223.3,222.8,12.6,2,0,0
0,98,0,161,190.9,227.7,12.1,4,0,0
0,125,0,126.7,206,247.8,13.3,1,0,0
0,63,0,58.9,169.6,211.4,9.4,1,0,0
1,36,42,196.8,254.9,138.3,20,0,1,1
0,64,0,162.6,152.3,57.5,14.2,1,0,0
1,74,0,282.5,219.9,170,9.4,1,0,0
0,112,36,113.7,157.5,177.6,10,2,0,1
0,97,0,239.8,214.8,143.3,8.7,2,0,0
0,46,0,210.2,227.3,200.1,13.1,1,0,0
0,41,22,213.8,141.8,142.2,7.2,0,0,1
0,121,0,190.7,183.5,220.8,9.8,3,0,0
0,193,0,170.9,132.3,112.9,11.6,1,0,0
0,130,0,154.2,110.2,227.4,9.2,2,0,0
0,85,0,201.4,229.4,252.5,12,1,0,0
1,162,0,70.7,157.5,154.8,9.1,4,0,0
1,61,27,187.5,146.6,225.7,6.4,4,0,1
0,92,0,91.7,193.7,175,9.2,2,0,0
0,131,36,214.2,161.7,264.7,9.5,3,0,1
0,90,0,145.5,217.7,146.9,10.9,3,0,0
0,75,0,166.3,158.2,256.7,6.1,1,0,0
0,78,0,231,230.4,261.4,9.5,1,0,0
0,82,0,200.3,201.2,206.1,7.1,4,0,0
0,163,0,197,202.6,206.4,9.1,1,0,0
0,91,0,129.9,173.3,247.2,11.2,3,1,0
0,75,21,175.8,217.5,237.5,5.3,5,0,1
0,91,0,203.1,210.1,195.6,12,3,0,0
0,127,36,183.2,126.8,263.3,11.2,1,0,1
0,113,23,205,152,158.6,10.2,2,0,1
0,110,0,148.5,276.4,193.6,12.4,1,0,0
0,120,39,200.3,220.4,253.8,10.5,0,0,1
0,157,28,192.6,195.5,109.7,6.8,3,0,1
0,103,0,246.5,195.5,200.5,11.7,1,0,0
1,117,0,167.1,177.5,249.4,14.1,2,1,0
0,140,0,231.9,160.1,110.4,14.3,3,0,0
0,127,0,146.7,203.5,203.4,13.7,1,0,0
0,83,0,271.5,216.3,121.1,11.7,1,1,0
0,121,0,181.5,218.4,161.6,8.5,1,0,0
0,145,43,257.7,162.1,286.9,11.1,2,0,1
0,113,0,193.8,221.4,172.3,10.6,1,0,0
0,117,0,102.8,206.7,299,10.1,1,0,0
0,65,0,187.9,157.6,227.3,7.5,1,0,0
0,56,0,226,248.5,140.5,6.9,1,0,0
0,96,0,260.4,146,269.5,11.5,5,0,0
0,151,0,178.7,292.1,265.9,9.8,0,0,0
1,83,0,337.4,227.4,153.9,15.8,0,0,0
0,139,23,157.6,247,259.2,13.7,0,0,1
0,6,0,183.6,256.7,178.6,10.2,1,0,0
0,115,24,142.1,183.4,164.8,9.6,1,0,1
0,87,0,136.3,172.2,137.5,7.1,0,0,0
0,141,0,217.1,241.5,253.5,12,0,0,0
